Gender :,Age:,Graduation Year :,Program Code :,Current Occupation :,Job category :,Department :,Company Name,Type of Company :,Company's nature of business :,Years of work experience (after graduation):,Current Salary Midpoint
Male,26,2016,CS230,programmer,Executive,it,IGS PROTECH SD BHD,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,2,2500.5
Male,25,2015,CS247,Product Engineer,Executive,Product Developments,Digi Telecommunications Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Telecommunication,2,3500.5
Male,26,2017,CS246,Application Engineer,Executive,TRANSACTION BANKING ,Hitachi eBworx,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,1,2500.5
Female,25,2016,CS247,assitant operation manager,Manager,operation,ammaira sdn bhd,Private Limited Company(Syarikat Sendirian Berhad,clothing (brand),1,1500
Female,24,2017,CS248,Clerk,Non Executive,Hr,Expert security ,Private Limited Company(Syarikat Sendirian Berhad,Services,1,2500.5
Male,26,2014,CS220,Business Analyst,Executive,Operation,Silverlake Sprint Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,3,3500.5
Male,24,2014,CS110,on call field support,field engineer,technical support,sonicboom sdn bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,3,1500
Female,24,2016,CS242,"Executive, Risk Management",Executive,Risk Management,KAF-Seagroatt & Campbell Securities Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Stockbroking,1,2500.5
Female,24,2017,CS240,IT Business Analyst,Non Executive,Information Technology - Demand Management,Celcom Axiata Sdn Bhd,GLC,Telecommunication,1,2500.5
Male,25,2015,CS251,IT Executive,Executive,Project,Nasc Technology ltd,Private Limited Company(Syarikat Sendirian Berhad,Telecommunication,2,4500.5
Female,24,2016,CS244,IT Analyst,Executive,Technical,UiTM Holdings,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,2,2500.5
Male,24,2014,CS110,Game Programmer,Executive,IT Department,Miraj Audio,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,3,4500.5
Male,24,2017,CS247,linux/unix,associate,development and operation,digi telecommunications sdn bhd,Private Limited Company(Syarikat Sendirian Berhad,Telecommunication,1,2500.5
Female,24,2017,CS248,SL1M TRAINEE,TRAINEE STAFF,SOFTWARE TECHNOLOGY (DATA SCIENCE),TM R&D BERHAD,Sole Trader(Perseorangan),Telecommunication,1,1500
Male,27,2014,CS 222,Marketing Manager,Manager,Marketing,VV Variasi International Sdn. Bhd.,Private Limited Company(Syarikat Sendirian Berhad,Consumer Trading,3,7500.5
Male,25,2015,CS110,cashier,Non Executive,cum cashier,Guardian pharmacy health and beauty,Corporate(Koperasi),health and beauty,1,1500
Female,25,2017,CS249,ACCOUNT EXECUTIVE,Executive,ACCOUNT,SIONGLI (M),Private Limited Company(Syarikat Sendirian Berhad,Manufacturing,1,2500.5
Male,24,2017,CS230,Junior Programmer,Non Executive,IT,Kodewave Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,1,1500
Female,24,2016,CS228,Admin & Accounts Executive ,Executive,Admin cum HR ,Sustainable Venture Sdn Bhd ,Private Limited Company(Syarikat Sendirian Berhad,Construction ,1,1500
Male,23,2017,CS230,Freelance Web Developer,Freelance,Freelance,Self emplyoed,Freelance,Information Technology,1,1500
Male,24,2017,CS230,Mobile App Developer,Non Executive,Mobile App,Ingeniworks Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,1,2500.5
Male,24,2015,CS110,developer web system,programmer,IT,Data View System Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,2,1500
Female,23,2017,CS241,Data Analyst,Non Executive,Quality Audit,AS White Global,Private Limited Company(Syarikat Sendirian Berhad,Services,1,2500.5
Female,23,2017,CS251,FINANCIAL CONSULTANT,AGENT,TAKAFUL,QFALAH GROUP,Private Limited Company(Syarikat Sendirian Berhad,Telecommunication,1,1500
Female,23,2017,CS251,FINANCIAL CONSULTANT,AGENT,TAKAFUL,QFALAH GROUP,Private Limited Company(Syarikat Sendirian Berhad,Telecommunication,1,1500
Female,23,2017,CS242,Product Development,Executive,Underwriting,RHB Insurance,Corporate(Koperasi),Insurance,1,2500.5
Female,25,2016,CS248,Executive credit,Executive,Employee Benefit & Medical Group,ETIQA MAYBANK,Banking,Operation,1,3500.5
Female,23,2015,CS110,Sendiri,Self,No,No,No,No,2,1500
Male,24,2017,CS110,Trainer,Trainer,Trainer,StartUp Malaysia,Corporate(Koperasi),Information Technology,1,2500.5
Female,25,2016,CS230,Programmer,Non Executive,ISD,Rohm Wako Electronics Malaysia,Private Limited Company(Syarikat Sendirian Berhad,Manufacturing,1,2500.5
Female,26,2014,CS244,Web developer,Executive,Portal ,Opensoft Technology Sdn. Bhd.,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,3,2500.5
Male,37,2004,CS110,Head Of Programmer,Executive,Infostruktur,UiTM,Statutory Body(Badan Berkanun),Education,12,7500.5
Female,24,2017,CS241,ASSISTANT ADMINISTRATION,Non Executive,ADMINISTRATION & MANAGEMENT,TUNJANG BAKAWALI SDN BHD,Private Limited Company(Syarikat Sendirian Berhad,Manufacturing,1,1500
Female,23,2017,CS247,anggota rela pentadbiran,Non Executive,administration,jabatan sukarelawan malaysia,goverment,Customer Services,1,1500
Female,26,2016,CS248,Administration Clerk,Non Executive,Hr,Dina jaya enterprise,Partnership(Perkongsian),Manufacturing,1,1500
Female,25,2016,CS242,Account assistant ,Non Executive,Finance,Mammoth Empire Holding Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Property,1,2500.5
Female,23,2017,CS247,Software Engineer,Junior Software Engineer,IT,SASB,Private Limited Company(Syarikat Sendirian Berhad,Customer Services,1,2500.5
Male,25,2016,CS240 ,Engineer,Executive,CIM (Computer Integrated Manufacturing),Silterra Malaysia Sdn Bhd,GLC,Manufacturing,1,3500.5
Female,26,2015,CS228,Continous improvement ,Executive,Production,Bahru stainless,Partnership(Perkongsian),Manufacturing,2,2500.5
Male,25,2013,CS230,Software Engineer,Executive,Software IT,Terato Tech Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,2,3500.5
Female,24,2016,CS231,Application Developer,Executive,Bussiness Process Outsourcing,Telekom Malaysia Berhad,Corporate(Koperasi),Information Technology,1,2500.5
Female,23,2017,CS241,Admin Officer,Non Executive,Admin,Netiquette Softwar,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,1,1500
Female,24,2017,CS251 ,Admin executive,Executive,Global banking - Cash Management,Maybank,Corporate(Koperasi),Banking,1,2500.5
Female,26,2015,CS110,Payroll associate,Executive,Payroll,Tricor business services,Private Limited Company(Syarikat Sendirian Berhad,Services,1,2500.5
Female,23,2017,CS244,Supervisor Capability Management,Non Executive,Capability Management,PETRONAS Carigali Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Oil & Gas,1,2500.5
Female,23,2015,CS112,employment,clerk,FSKM,Cahaya Unggul Enterprise,Partnership(Perkongsian),Manufacturing,1,1500
Male,27,2014,CS244,System Analyst,Executive,IT,Schlumberger Oilfield Support Sdn. Bhd.,Private Limited Company(Syarikat Sendirian Berhad,Oil & Gas,3,7500.5
Male,25,2016,CS247,penguasa bomba kb 41,Executive,operation,jabatan bomba dan penyelamat malaysia,govement,resque,1,3500.5
Male,24,2017,CS230,Operation Services Associates,Worker,Operations Team,ServiceSource Int (M) Sdn. Bhd,Multinational Business Company,"Business, services, support",1,2500.5
Female,31,2010,CS222,Senior Associate,Executive,Portfolio Assessment,PNB,Berhad,Investment Holdings,7,7500.5
Male,24,2016,CS246,Junior Java Developer,Non Executive,System Integration,Technodex Berhad,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,1,2500.5
Female,25,2016,CS230,programmer,junior,IT,Ugisp Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Gis,2,1500
Female,25,2017,CS242,FINANCE EXECUTIV,Executive,ACCOUNT & FINANCE,MIE INDUSTRIAL SDN BHD,Private Limited Company(Syarikat Sendirian Berhad,ENGINEERING,1,2500.5
Male,25,2016,CS246,Network Engineer,Non Executive,Telco Business Solution,Mesiniaga Berhad,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,2,2500.5
Female,26,2012,CS110,mobile application developer,Executive,IT,TM Info media,Private Limited Company(Syarikat Sendirian Berhad,Telecommunication,3,2500.5
Male,33,2009,CS247,Life planner takaful & finance advisor,Executive,Sales,AIA public takaful & Kenanga Bank,Private Limited Company(Syarikat Sendirian Berhad,Consumer Trading,9,7500.5
Male,31,2010,CS225,Network Engineer,Non Executive,IT Dept,Emerio (M) Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,7,3500.5
Female,24,2016,CS702,RA,Unit,Statistics,The Malaysian Cohort,Government,Medical,1,2500.5
Male,25,2016,CS230,Programmer,Non Executive,Management Information System,Evergreen (19179) Trading,Private Limited Company(Syarikat Sendirian Berhad,Consumer Trading,2,1500
Female,25,2016,CS230,QA Engineer,Executive,Technical Department,Mudah.my,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,1,2500.5
Male,28,2013,CS222,Fund Accountant ,Executive,Fund Accounting ,RBC Treasury & Services Malaysia,Private Limited Company(Syarikat Sendirian Berhad,Services,4,4500.5
